(0.9986605316,0.0)	
(0.0245383187252794,-0.999580286681685)	
(-1.00011254104747,-0.0491323785565986)	
(-0.0735902462966744,0.997638628507286)	
(0.993931766171004,0.0978937344914463)	
(0.122342014566907,-0.99192284889881)	
(-0.990332505455358,-0.146901950188045)	
(-0.171089344477522,0.986012187786664)	
(0.979746710936418,0.194883737704796)	
(0.218903856188143,-0.974823139309935)	
(-0.97093839844775,-0.24320740796019)	
(-0.2669830902726,0.96475292300577)	
(0.956151972540106,0.290045529894658)	
(0.313338685447,-0.948489738432213)	
(-0.942235989109774,-0.337137427731924)	
(-0.360305089276741,0.934055820594873)	
(0.923243174486741,0.382419844240797)	
(0.404774535460838,-0.913156720181072)	
(-0.904626838117111,-0.427856629755331)	
(-0.450110407132484,0.894215797855006)	
(0.881191767272762,0.471006812515448)	
(0.492424780352148,-0.869251302273454)	
(-0.858663486574708,-0.514663087647775)	
(-0.535239628149845,0.845235738059464)	
(0.830355966177128,0.554826118468395)	
(0.576501429918274,-0.818569136192297)	
(-0.794441941751913,-0.58919830008172)	
(-0.558629298697314,0.715817293419481)	
(0.553347602670856,0.454120641467854)	
(0.29091146184086,-0.337247230702184)	
(-0.145029619187933,-0.131447184774907)	
(-0.0330384758449113,0.0347013963696128)	
(0.000947214799999958,0.000947214799999957)	
(3.06760494580074e-05,-2.9206026992027e-05)	
(-0.000656774785032593,-0.000724639307632377)	
(0.000925316180721475,-0.000798183226703386)	
(-0.000148824473369447,-0.000181343145494561)	
(0.00105604388427472,-0.000824144736218946)	
(8.62249529279824e-05,0.000116260890471342)	
(0.00107513128078002,-0.000757192878786783)	
(0.000185810737476644,0.000278085420472418)	
(0.00108871028326518,-0.000689418183518364)	
(0.000215343319706407,0.000359278623526138)	
(0.00110225986632576,-0.000624422501463828)	
(0.000214442342608478,0.000401193404936162)	
(0.00112482039139147,-0.000566187004898244)	
(0.000196388707997486,0.000415229036089593)	
(0.00115372970436153,-0.000511413205213695)	
(0.000169540113260147,0.000409306040798696)	
(0.00118700684115805,-0.000457879065089817)	
(0.000138581302231655,0.000387308793505736)	
(0.00122304871053089,-0.000404040718277821)	
(0.000105532734922142,0.000347894803618742)	
(0.00125146692915551,-0.000346327541645708)	
(7.58596867451722e-05,0.000302848845653417)	
(0.00127709876924664,-0.000286782118773865)	
(5.02537489798227e-05,0.000252642656873261)	
(0.00130081854866786,-0.000225713429846452)	
(2.91833104321682e-05,0.000196737898310512)	
(0.00132234736261921,-0.000163095991265461)	
(1.30631411183191e-05,0.0001326322975711)	
(0.00133586028991418,-9.85389748790477e-05)	
(3.17239699409999e-06,6.45756243053616e-05)	
(0.00133908095677157,-3.28725923809947e-05)	
(0.0,0.0)	
(0.0013390809567734,3.28725923811057e-05)	
(3.17239699432204e-06,-6.45756243076792e-05)	
(0.00133586028991205,9.85389748786591e-05)	
(1.3063141117986e-05,-0.000132632297568921)	
(0.00132234736262166,0.000163095991265794)	
(2.91833104325567e-05,-0.000196737898313273)	
(0.00130081854866548,0.000225713429846175)	
(5.02537489793786e-05,-0.000252642656871346)	
(0.00127709876924888,0.000286782118774531)	
(7.58596867458938e-05,-0.000302848845656012)	
(0.00125146692915301,0.000346327541644931)	
(0.000105532734921199,-0.000347894803616466)	
(0.00122304871053333,0.000404040718278709)	
(0.00013858130223271,-0.000387308793508429)	
(0.00118700684115583,0.000457879065088762)	
(0.000169540113259314,-0.000409306040797114)	
(0.0011537297043637,0.00051141320521475)	
(0.000196388707998985,-0.000415229036092229)	
(0.00112482039138917,0.000566187004896967)	
(0.000214442342607146,-0.000401193404933914)	
(0.00110225986632803,0.000624422501465383)	
(0.000215343319708128,-0.000359278623528858)	
(0.00108871028326291,0.000689418183517032)	
(0.000185810737475423,-0.000278085420470642)	
(0.00107513128078224,0.000757192878788504)	
(8.62249529300363e-05,-0.000116260890473896)	
(0.00105604388427238,0.000824144736217114)	
(-0.000148824473371112,0.000181343145496643)	
(0.000925316180723501,0.000798183226705274)	
(-0.000656774785030595,0.000724639307630129)	
(3.06760494563421e-05,2.92060269904484e-05)	
(0.000947214799999956,-0.000947214799999957)	
(-0.0330384758449099,-0.0347013963696109)	
(-0.14502961918793,0.131447184774905)	
(0.29091146184086,0.337247230702181)	
(0.553347602670853,-0.454120641467854)	
(-0.558629298697316,-0.715817293419477)	
(-0.794441941751908,0.589198300081722)	
(0.576501429918276,0.818569136192293)	
(0.830355966177126,-0.554826118468397)	
(-0.535239628149848,-0.845235738059459)	
(-0.858663486574703,0.514663087647778)	
(0.492424780352151,0.86925130227345)	
(0.881191767272759,-0.47100681251545)	
(-0.450110407132488,-0.894215797855002)	
(-0.904626838117107,0.427856629755334)	
(0.404774535460842,0.913156720181069)	
(0.92324317448674,-0.382419844240799)	
(-0.360305089276745,-0.93405582059487)	
(-0.942235989109771,0.337137427731928)	
(0.313338685447004,0.94848973843221)	
(0.956151972540104,-0.290045529894661)	
(-0.266983090272604,-0.964752923005768)	
(-0.970938398447748,0.243207407960194)	
(0.218903856188147,0.974823139309933)	
(0.979746710936417,-0.194883737704798)	
(-0.171089344477527,-0.986012187786662)	
(-0.990332505455356,0.146901950188049)	
(0.122342014566911,0.991922848898809)	
(0.993931766171003,-0.0978937344914496)	
(-0.0735902462966793,-0.997638628507285)	
(-1.00011254104747,0.0491323785566028)	
(0.0245383187252842,0.999580286681685)	
